DESTINO;ORIGEN;UNIDAD DE MEDIDA;CANTIDAD;FOBDOL;FOBPES
ABW;BOG;U;305;672,5;2811036,55
ABW;BOG;U;150;260;1086794,8
ABW;BOG;U;3;90;376198,2
ABW;BOG;U;5000;1662,5;6932325,1
ABW;BOG;U;6229;3001;12514664,4
ABW;BOG;KG;182;963,3;4023074,07
ABW;BOG;U;8606;2116,81;8909949,64
ABW;BOG;U;638;156,93;660540,34
ABW;BOG;U;319;78,46;330249,12
ABW;BOG;U;2549;626,97;2639004,5
ABW;BOG;KG;29;156,93;660540,34
ABW;BOG;U;20;1385;5965222,7
ABW;BOG;KG;75;227,52;979933,19
ABW;BOG;KG;0,6;35;146078,1
ABW;BOG;KG;83;896;3739599,36
ABW;BOG;KG;28;258;1076804,28
ABW;BOG;M3;0,01;48,58;202756,4
ABW;BOG;KG;19,5;111;462745,68
ABW;BOG;L;572;888,8;3705300,54
ABW;BOG;KG;40;81,72;339340,66
ABW;BOG;KG;35;79,13;328585,74
ABW;BOG;KG;96;209,15;868491,19
ABW;BOG;KG;40;81,71;340639,18
ABW;BOG;KG;35;79,14;329925,16
ABW;BOG;KG;96;209,15;871921,25
ABW;BOG;KG;100;208,61;896228,39
ABW;BOG;KG;105;238,11;1017883,9
ABW;BOG;KG;252;546,68;2336330,94
ABW;BOG;M3;472,28;309506,04;1290754648
BIH;BOG;U;1100;176,84;739187,66
BIH;BOG;U;38505;11021,65;46000619,73
BIH;BOG;U;12550;1527;6373178,82
ATG;BOG;U;20;2228,75;9247484,92
ATG;BOG;U;8;876,64;3637337,15
ATG;BOG;U;484;34426,23;142840625
ATG;BOG;U;547;15677,05;65046902,31
ATG;BOG;U;4;259,6;1077127,12
ATG;BOG;U;14;1238,64;5139340,31
ATG;BOG;U;211;3794,76;15745142,29
ATG;BOG;2U;77;2551,4;10586217,85
ATG;BOG;U;700;801;3323493,18
ATG;BOG;U;500;35;145221,3
SAU;BOG;U;4320;3070,8;12730676,97
SAU;BOG;U;3690;2343,6;9750636,88
SAU;BOG;U;29750;24911,89;106480414
SAU;BOG;U;540;380,7;1614610,22
SAU;BOG;KG;169;835;3561479,55
SAU;BOG;U;5910;5914,4;25686631,54
SAU;BOG;KG;680;3366;14497429,32
SAU;BOG;KG;60;343,5;1479461,37
SAU;BOG;KG;27,5;114,67;493885,98
SAU;BOG;KG;80;435;1873553,7
SAU;BOG;KG;45;249,75;1075678,24
SAU;BOG;KG;800;12475;52224092,5
SAU;BOG;U;15;2123,6;9014682
SAU;BOG;U;6;921,42;3911427,9
SAU;BOG;U;49;6489,98;27549965,1
SAU;BOG;U;25600;3301,6;14015292
SAU;BOG;U;160;284,8;1171778,27
SAU;BOG;U;220;453,2;1864641,54
SAU;BOG;KG;1560;16087,5;66749933,25
SAU;BOG;KG;255;1769,74;7336846,51
SAU;BOG;KG;670;5027,3;20841778,15
SAU;BOG;KG;720;8745,6;36256808,83
SAU;BOG;KG;100;791,5;3281337,38
SAU;BOG;KG;80;579,4;2402030,16
SAU;BOG;KG;100;680,6;2821577,03
SAU;BOG;KG;78,6;780;3233661,6
SAU;BOG;KG;162;1736;7260524,88
SAU;BOG;KG;3960;17831,7;79067362,65
SAU;BOG;U;29;8854;36911263,52
ARG;BOG;U;10450;1628,5;6825499,48
ARG;BOG;U;2;680;2837184,4
ARG;BOG;KG;3000;13440,14;56264458,08
ARG;BOG;KG;125;1081,25;4503038,62
ARG;BOG;U;19;13500;56058472
ARG;BOG;U;13050;4385,75;18617508,75
ARG;BOG;U;420;26178,6;109260575,7
ARG;BOG;U;6400;9546,6;39610561,76
ARG;BOG;U;2500;515;2218115,3
ARG;BOG;KG;50;3415;14222313,9
ARG;BOG;KG;850;35700;148829016
ARG;BOG;KG;20;711,02;2967555,73
ARG;BOG;KG;607,84;14512,18;60499536,95
ARG;BOG;M2;27351,45;128465,42;533832569,1
ARG;BOG;U;47;923,4;3977102,26
ARG;BOG;U;1;1079,3;4474475,59
ARG;BOG;U;1;2794,03;12388980,48
ARG;BOG;U;3;3546,39;14746634,36
ARG;BOG;U;32;28800;120451104
ARG;BOG;U;25;8010;34002450
ARG;BOG;U;2;161,42;669202,12
ARG;BOG;U;1;223,49;926526,96
ARG;BOG;U;55;8883,85;36829954,62
ARG;BOG;U;8;2341,51;9796740,77
ARG;BOG;U;84;8762,96;36684379,44
ARG;BOG;U;2;64,64;267979,34
ARG;BOG;U;2800;140;584312,4
ARG;BOG;U;240;177,12;739238,65
ARG;BOG;U;10500;1913,75;8021062,1
ARG;BOG;U;1;2713,83;11322994,32
ARG;BOG;U;1;2421,53;10103422,26
ARG;BOG;U;3;5914,79;25763642,28
ARG;BOG;U;1;6924,12;28889713,59
ARG;BOG;U;1;4710,49;19653718,74
ARG;BOG;U;1;1115,33;4653524,81
ARG;BOG;U;1;1185,1;4944628,28
ARG;BOG;U;232;918,66;3814717,27
ARG;BOG;U;225;874,75;3713313,75
ARG;BOG;M3;507,37;416225,6;1736231863
ARG;CTG;U;204;2542264,14;10548311524
AUS;BOG;U;57560;7247,06;30064990,96
AUS;BOG;U;103840;16225,2;67392911,79
AUS;BOG;U;57200;4456;18473328,32
AUS;BOG;KG;75;132840;556769635,2
AUS;BOG;U;5400;1104,12;4617794,19
AUS;BOG;U;375;1796;7487308,48
AUS;BOG;U;305;2627,08;10951981,27
AUS;BOG;U;17;7796,8;32503923,58
AUS;BOG;U;320;960;4002124,8
AUS;BOG;U;200;400;1667552
AUS;BOG;U;86;344;1434094,72
AUS;BOG;U;6050;2061;8544328,92
AUS;BOG;U;51440;9993,81;41688355,49
AUS;BOG;U;365;9225;38276185,5
AUS;BOG;U;210;2950;12240081
AUS;BOG;U;425;4150;17219097
AUS;BOG;U;9;603;2501955,54
AUS;BOG;U;2561;42544;176689893
AUS;BOG;U;48;1292;5415133,76
AUS;BOG;U;107;1761;7670563,8
AUS;BOG;U;52;1275;5335714,6
AUS;BOG;U;1020;20757;87748181,16
AUS;BOG;U;688;8410;36632278
AUS;BOG;U;2033;27676;115232403,1
AUS;BOG;U;200;4600;20036680
AUS;BOG;U;5;5557,25;23108212,52
AUS;BOG;U;32;12000;52269600
AUS;BOG;U;27750;10159,8;42119686,05
AUS;BOG;U;3360;588;2459210,04
AUS;BOG;U;2650;449;1862981,82
AUS;BOG;KG;540;14715;61188060,15
AUS;BOG;U;150;6065;26892755,85
AUS;BOG;KG;113,9;2700;11265291
AUS;BOG;U;6;10385;43053302,2
AUS;BOG;KG;24,65;178,38;743773,24
AUS;BOG;U;1000;1;4191,28
AUS;BOG;U;103975;24998;104148965,5
AUS;BOG;U;1480;2042,4;8505901,58
AUS;BOG;U;1742;3100,88;12915328,27
AUS;BOG;U;5115;8184;34083577,44
AUS;BOG;U;260;504,4;2100654,5
AUS;BOG;U;650;2340;9745304,4
AUS;BOG;U;79200;11444;47682903,84
AUS;BOG;U;5600;1176;4897640,16
AUS;BOG;U;2685;5396,85;22476045,32
AUS;BOG;KG;323;3040;12660566,4
AUS;BOG;U;27000;5915;25476023,3
AUS;BOG;U;284990;69700,84;299266241,9
AUS;BOG;U;273712;68435,76;288475309,4
AUS;BOG;U;82500;14360;60085586,6
AUS;BOG;U;13550;5812;24463521,68
AUS;BOG;U;30000;7200;30177216
AUS;BOG;U;863260;257414,4;1078949131
AUS;BOG;U;42330;11999,5;49816039,5
AUS;BOG;KG;37,99;260,5;1087238,43
AUS;BOG;KG;20;90370;382732605,7
AUS;BOG;KG;26,2;53222,39;231826086,4
AUS;BOG;KG;960;13880,68;58177816,47
AUT;BOG;U;1116;953,32;4081756,65
AUT;BOG;U;495;247,5;1077972,3
AUT;BOG;U;66080;11390,4;47564028,5
AUT;BOG;U;264280;41718,8;174342641,7
AUT;BOG;U;26720;4809,6;20104031,8
AUT;BOG;U;28;269,92;1162550,83
AZE;BOG;U;1760;1280,07;5331056,32
AZE;BOG;U;1085;824,45;3418749,17
AZE;BOG;U;2400;461;1930285,08
AZE;BOG;U;4400;584;2441108,32
AZE;BOG;U;91700;13388,02;55961655,83
BHS;BOG;U;52;2120,23;9235297,83
BHS;BOG;U;56;2090,67;9106540,38
BHS;BOG;U;83;1027,85;4477109,03
BHS;BOG;U;96;7732,34;33680526,57
BHS;BOG;U;107;1581,16;6887216,72
BHR;BOG;U;600;90;378822,6
BHR;BOG;U;100;31;130483,34
BHR;BOG;U;180;72,6;305583,56
BHR;BOG;U;1958;1229,6;5131932,33
BHR;BOG;U;6160;3491,63;15069340,16
BHR;BOG;U;360;100,8;439064,64
BHR;BOG;KG;59;819;3447285,66
BHR;BOG;KG;12;18,97;79003,6
BHR;BOG;KG;18;48,27;201028,13
BHR;BOG;KG;12;22,19;92413,8
BHR;BOG;KG;147;793,26;3303658,19
BHR;BOG;KG;14;77,17;321386,81
BHR;BOG;KG;123;288,16;1200088,42
BHR;BOG;KG;15;77,23;321636,69
BHR;BOG;KG;2,64;12,4;51641,78
BHR;BOG;U;16800;4128;17523360
BHR;BOG;U;17615;2218,67;9664082,78
