DESTINO;ORIGEN;UNIDAD DE MEDIDA;CANTIDAD;FOBDOL;FOBPES
DEU;BOG;KG;276,58;2431,00;10155696,98
DEU;BOG;KG;44,75;393,40;1643459,97
DEU;BOG;KG;500,72;4401,00;18385529,58
DEU;BOG;KG;45,05;396,00;1654321,68
DEU;BOG;KG;365,13;3209,25;13406898,61
DEU;BOG;KG;31,65;278,25;1162411,63
DEU;BOG;KG;1,90;7,50;31331,85
DEU;BOG;U;5400,00;1134,00;4511993,22
DEU;BOG;U;2,00;2200,00;9071667,00
DEU;BOG;KG;90,00;528,00;2205762,24
DEU;BOG;KG;1440,00;10800,00;45117864,00
DEU;BOG;KG;177,50;997,55;4167344,92
DEU;BOG;KG;160,00;1360,00;5681508,80
DEU;BOG;KG;157,50;831,60;3474075,52
DEU;BOG;KG;48,30;316,40;1321786,31
DEU;BOG;KG;1970,00;15734,00;65730043,72
DEU;BOG;KG;54,00;357,75;1494529,24
DEU;BOG;KG;114,00;4368,60;18250175,98
DEU;BOG;U;43631,00;9408,16;37673945,47
DEU;BOG;M3;1650,20;1235906,06;4994249970,20
DEU;BOG;U;807974,00;4973,14;20855310,17
DEU;BOG;U;702520,00;3651,01;14930075,19
ARM;BOG;U;1430,00;228,80;935631,84
ARM;BOG;U;27425,00;4388,00;17943848,40
ARM;BOG;U;10720,00;3323,20;13222447,85
ARM;BOG;U;90,00;63,00;250666,29
ARM;BOG;U;60,00;162,00;676767,96
ARM;BOG;U;368,00;1054,40;4404840,35
ARM;BOG;U;90,00;207,00;864759,06
ARM;BOG;U;1900,00;535,20;2099851,84
ARM;BOG;U;350,00;53,76;213975,55
ARM;BOG;U;3850,00;693,00;2903642,28
ABW;BOG;U;1707,00;580,38;2433875,76
ABW;BOG;U;1860,00;857,46;3595835,68
ABW;BOG;U;1820,00;491,40;2060730,12
ABW;BOG;U;865,00;367,63;1541689,49
ABW;BOG;KG;138,00;579,36;2429598,30
ABW;BOG;U;11250,00;3581,87;15007892,01
ABW;BOG;U;252,00;80,81;338590,66
ABW;BOG;U;1608,00;773,77;3242065,34
ABW;BOG;U;1333,00;436,34;1828247,14
ABW;BOG;U;780,00;203,84;854081,44
ABW;BOG;U;252,00;80,81;338590,66
ABW;BOG;U;2917,00;539,46;2260315,81
ABW;BOG;U;19794,00;5672,41;23767170,86
ABW;BOG;KG;203,00;1833,14;7680783,26
ABW;BOG;KG;247,34;1918,00;7541652,72
ABW;BOG;U;3,00;162,00;676767,96
ABW;BOG;U;95,00;2096,48;8601502,51
ABW;BOG;U;516,00;10869,71;44559613,66
ABW;BOG;U;26,00;792,20;3152029,11
ABW;BOG;U;5,00;101,50;403851,24
ABW;BOG;U;18,00;768,60;3058128,73
ABW;BOG;U;347,00;8297,96;33973868,92
ABW;BOG;U;27,00;216,00;859427,28
ABW;BOG;KG;37,50;143,40;588245,44
ABW;BOG;KG;0,10;1,75;7178,71
ABW;BOG;KG;8,00;24,00;98451,12
ABW;BOG;KG;30,00;175,00;717872,75
ABW;BOG;KG;26,40;110,00;451234,30
ABW;BOG;KG;20,15;106,66;437533,18
ABW;BOG;KG;1,00;5,38;22069,45
ABW;BOG;KG;241,40;1204,16;4939620,85
ABW;BOG;U;2525,00;858,50;3600197,01
ABW;BOG;U;970,00;220,00;922589,80
ABW;BOG;U;1140,00;544,50;2283409,75
ABW;BOG;KG;78,00;465,70;1952954,85
ABW;BOG;KG;1,00;14,00;56971,46
ABW;BOG;KG;1,00;6,64;27020,74
ABW;BOG;U;22500,00;15393,00;63654919,44
ABW;BOG;U;100,00;27,00;112794,66
ABW;BOG;U;1300,00;325,50;1343690,04
ABW;BOG;U;300,00;81,90;342143,80
ABW;BOG;U;1600,00;716,75;2958801,34
ABW;BOG;U;1000,00;323,75;1336465,90
ABW;BOG;U;3405,00;3704,83;15305334,95
ABW;BOG;KG;525,00;1452,50;6011207,95
ABW;BOG;KG;62,33;2980,80;11695138,99
ABW;BOG;KG;13,12;727,20;2853161,92
ABW;BOG;KG;467,99;8938,16;35068781,37
ABW;BOG;KG;133,99;4475,07;17557892,39
ABW;BOG;KG;40,46;2198,40;8625400,41
ABW;BOG;2U;229,00;11225,00;45902392,50
ABW;BOG;2U;146,00;3918,00;16021877,40
ABW;BOG;2U;6,00;12,00;49071,60
ABW;BOG;KG;40,00;81,30;324480,49
ABW;BOG;KG;25,00;56,24;224462,27
ABW;BOG;KG;84,00;182,06;726628,76
ABW;BOG;U;35475,00;54248,91;220176130,27
ABW;BOG;U;5550,00;1911,81;7726344,55
ABW;BOG;U;5200,00;2929,00;11862863,27
ABW;BOG;U;130,00;97,50;399957,67
ABW;BOG;U;3290,00;1854,20;7527010,84
ABW;BOG;U;4147,00;7117,86;28994297,18
ABW;BOG;KG;212,00;2382,00;9722940,06
ABW;BOG;KG;32,00;136,00;556144,80
ABW;BOG;KG;8,00;24,00;98143,20
ABW;BOG;KG;45,00;262,50;1073441,25
ABW;BOG;KG;15,60;65,00;265804,50
ABW;BOG;KG;73,45;388,10;1587057,33
ABW;BOG;KG;157,50;602,28;2462903,60
ABW;BOG;KG;2,20;24,82;101496,42
ABW;BOG;KG;5,50;29,59;121002,38
ABW;BOG;KG;752,40;3797,00;15527072,07
ABW;BOG;KG;90,00;182,53;739169,69
ABW;BOG;KG;55,00;123,46;499739,05
ABW;BOG;KG;156,00;337,51;1361139,01
ABW;BOG;KG;200,00;764,80;3137309,02
ABW;BOG;KG;2,15;23,10;94759,19
ABW;BOG;KG;40,00;170,00;697362,10
ABW;BOG;KG;16,00;48,00;196902,24
ABW;BOG;KG;59,00;344,10;1411542,93
ABW;BOG;KG;14,40;60,00;246127,80
